title,address,city,state,postal_code,price,facts and features,real estate provider,url
For Sale by Owner,601 Van Ness Ave APT 728,San Francisco,CA,94102,"$539,000","Studio , 1 ba , 489 sqft",,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-728-San-Francisco-CA-94102/15077789_zpid/
Condo For Sale,555 Fulton St #434,San Francisco,CA,94102,"$1,140,000","2 bds , 2 ba , 837 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/555-Fulton-St-434-San-Francisco-CA-94102/2091552717_zpid/
Condo For Sale,388 Fulton St UNIT 208,San Francisco,CA,94102,"$689,000","Studio , 1 ba , 485 sqft",Reside Real Estate,https://www.zillow.com/homedetails/388-Fulton-St-UNIT-208-San-Francisco-CA-94102/2092390196_zpid/
Condo For Sale,8 Buchanan St UNIT 903,San Francisco,CA,94102,"$1,495,000","2 bds , 2 ba , 948 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/8-Buchanan-St-UNIT-903-San-Francisco-CA-94102/2091151978_zpid/
Condo For Sale,601 Van Ness Ave APT 147,San Francisco,CA,94102,"$527,500","Studio , 1 ba , 594 sqft",KG Real Estate Services,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-147-San-Francisco-CA-94102/15077671_zpid/
House For Sale,555 Fulton St #334,San Francisco,CA,94102,"$926,000","Studio , -- ba , 711 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/555-Fulton-St-334-San-Francisco-CA-94102/2091552235_zpid/
Condo For Sale,8 Octavia St UNIT 407,San Francisco,CA,94102,"$287,179","Studio , 1 ba , 385 sqft",Better Homes and Gardens Real Estate Thrive,https://www.zillow.com/homedetails/8-Octavia-St-UNIT-407-San-Francisco-CA-94102/124397633_zpid/
Apartment For Sale,690 692 Sutter St,San Francisco,CA,94102,"$4,500,000","Studio , -- ba , 3,350 sqft",Hancock Commercial Real Estate,https://www.zillow.com/homedetails/690-692-Sutter-St-San-Francisco-CA-94102/2091999248_zpid/
Apartment For Sale,225 Taylor St,San Francisco,CA,94102,"$4,500,000","Studio , -- ba , 12,825 sqft",Colliers International,https://www.zillow.com/homedetails/225-Taylor-St-San-Francisco-CA-94102/2100363386_zpid/
